"satisfaction_level";"last_evaluation";"number_project";"average_montly_hours";"time_spend_company";"Work_accident";"left";"promotion_last_5years";"salary";"satisfied"
"51";0.79;0.89;5;239;5;0;1;0;"low";TRUE
"52";0.9;0.99;5;260;5;0;1;0;"low";TRUE
"53";0.11;0.84;7;296;4;0;1;0;"low";FALSE
"54";0.43;0.55;2;129;3;0;1;0;"low";FALSE
"55";0.31;0.54;5;132;5;0;1;0;"low";FALSE
"56";0.32;0.5;2;135;5;0;1;0;"low";FALSE
"57";0.45;0.57;2;158;3;0;1;0;"low";FALSE
"58";0.81;0.99;4;259;5;0;1;0;"low";TRUE
"59";0.41;0.46;2;160;3;0;1;1;"low";FALSE
"60";0.11;0.78;7;278;4;0;1;0;"low";FALSE
"61";0.1;0.88;6;284;4;0;1;0;"low";FALSE
"62";0.7;0.53;2;274;4;0;1;0;"low";TRUE
"63";0.54;0.74;4;164;2;0;1;0;"low";FALSE
"64";0.41;0.48;2;148;3;0;1;0;"low";FALSE
"65";0.38;0.5;2;140;3;0;1;0;"medium";FALSE
"66";0.37;0.51;2;127;3;0;1;0;"medium";FALSE
"67";0.11;0.85;6;308;5;0;1;0;"medium";FALSE
"68";0.4;0.47;2;146;3;0;1;0;"medium";FALSE
"69";0.92;0.99;5;255;6;0;1;0;"low";TRUE
"70";0.1;0.97;7;254;4;0;1;0;"low";FALSE
"71";0.1;0.87;7;289;4;0;1;0;"low";FALSE
"72";0.37;0.46;2;156;3;0;1;0;"low";FALSE
"73";0.38;0.53;2;156;3;0;1;0;"low";FALSE
"74";0.4;0.5;2;128;3;0;1;0;"low";FALSE
"75";0.89;0.86;5;275;5;0;1;0;"low";TRUE
"76";0.45;0.46;2;155;3;0;1;0;"low";FALSE
"77";0.37;0.48;2;159;3;0;1;0;"low";FALSE
"78";0.46;0.49;2;148;3;0;1;0;"low";FALSE
"79";0.87;0.91;4;228;5;0;1;0;"low";TRUE
"80";0.11;0.84;6;298;4;0;1;0;"low";FALSE
"81";0.79;0.87;5;261;5;0;1;0;"low";TRUE
"82";0.79;0.92;5;254;6;0;1;0;"low";TRUE
"83";0.19;0.59;7;192;3;0;1;0;"low";FALSE
"84";0.87;0.98;4;248;5;0;1;0;"low";TRUE
"85";0.6;0.92;2;258;5;0;1;0;"low";FALSE
"86";0.44;0.45;2;156;3;0;1;0;"medium";FALSE
"87";0.11;0.81;6;266;4;1;1;0;"medium";FALSE
"88";0.42;0.54;2;156;3;0;1;0;"medium";FALSE
"89";0.11;0.81;5;287;4;0;1;0;"low";FALSE
"90";0.73;0.86;4;245;6;0;1;0;"low";TRUE
"91";0.43;0.47;2;135;3;0;1;0;"low";FALSE
"92";0.37;0.46;2;153;3;0;1;0;"low";FALSE
"93";0.11;0.94;6;276;4;0;1;0;"low";FALSE
"94";0.4;0.46;2;130;3;0;1;0;"low";FALSE
"95";0.41;0.54;2;153;3;1;1;0;"low";FALSE
"96";0.82;0.84;5;244;5;0;1;0;"low";TRUE
"97";0.61;0.47;2;253;3;0;1;0;"low";FALSE
"98";0.11;0.91;7;287;4;0;1;0;"low";FALSE
"99";0.37;0.45;2;131;3;0;1;0;"low";FALSE
"100";0.41;0.52;2;135;3;0;1;0;"low";FALSE
"101";0.37;0.52;2;157;3;0;1;0;"low";FALSE
"102";0.88;0.99;5;262;6;0;1;0;"low";TRUE
"103";0.1;0.85;6;266;4;0;1;0;"low";FALSE
"104";0.44;0.48;2;148;3;0;1;0;"low";FALSE
"105";0.38;0.57;2;140;3;0;1;0;"low";FALSE
"106";0.11;0.85;7;302;4;0;1;0;"low";FALSE
"107";0.09;0.98;6;271;4;0;1;0;"low";FALSE
"108";0.45;0.52;2;145;3;0;1;0;"medium";FALSE
"109";0.38;0.51;2;159;3;0;1;0;"medium";FALSE
"110";0.45;0.55;2;148;3;0;1;0;"low";FALSE
"111";0.84;1;4;261;5;0;1;0;"low";TRUE
"112";0.11;0.93;6;282;4;0;1;0;"low";FALSE
"113";0.42;0.56;2;133;3;0;1;0;"low";FALSE
"114";0.45;0.46;2;128;3;0;1;0;"low";FALSE
"115";0.46;0.57;2;139;3;0;1;0;"low";FALSE
"116";0.09;0.79;6;293;5;0;1;0;"low";FALSE
"117";0.87;0.83;4;265;6;0;1;0;"low";TRUE
"118";0.1;0.87;6;250;4;0;1;0;"low";FALSE
"119";0.91;1;5;251;6;0;1;0;"low";TRUE
"120";0.76;0.92;4;246;5;0;1;0;"low";TRUE
"121";0.74;1;5;275;5;0;1;0;"low";TRUE
"122";0.92;0.93;5;240;5;0;1;0;"low";TRUE
"123";0.76;0.87;5;245;5;0;1;0;"low";TRUE
"124";0.47;0.5;4;254;4;0;1;0;"low";FALSE
"125";0.73;0.99;5;241;5;0;1;0;"low";TRUE
"126";0.09;0.94;6;257;4;0;1;0;"low";FALSE
"127";0.91;0.92;4;246;5;0;1;0;"low";TRUE
"128";0.82;0.98;4;233;5;0;1;0;"low";TRUE
"129";0.4;0.48;2;137;3;0;1;0;"medium";FALSE
"130";0.09;0.95;6;292;4;0;1;0;"medium";FALSE
"131";0.9;0.92;5;245;5;0;1;0;"low";TRUE
"132";0.41;0.52;2;159;3;0;1;0;"low";FALSE
"133";0.1;0.85;6;260;4;0;1;0;"low";FALSE
"134";0.44;0.53;2;149;3;0;1;0;"low";FALSE
"135";0.89;0.85;5;266;5;0;1;0;"low";TRUE
"136";0.42;0.56;2;149;3;0;1;0;"low";FALSE
"137";0.87;1;5;242;5;0;1;0;"low";TRUE
"138";0.45;0.57;2;134;3;0;1;0;"low";FALSE
"139";0.11;0.87;5;271;4;0;1;0;"low";FALSE
"140";0.09;0.79;6;275;4;0;1;0;"low";FALSE
"141";0.76;0.83;5;227;5;0;1;0;"low";TRUE
"142";0.11;0.96;7;277;5;0;1;0;"low";FALSE
"143";0.37;0.49;2;151;3;0;1;0;"low";FALSE
"144";0.1;0.79;6;274;4;0;1;0;"low";FALSE
"145";0.77;0.87;4;242;6;0;1;0;"low";TRUE
"146";0.42;0.54;2;143;3;1;1;0;"low";FALSE
"147";0.38;0.52;2;145;3;0;1;0;"low";FALSE
"148";0.32;0.95;5;172;2;0;1;0;"low";FALSE
"149";0.37;0.56;2;156;3;0;1;0;"medium";FALSE
"150";0.89;0.92;5;237;5;0;1;0;"medium";TRUE
"151";0.43;0.49;2;135;3;0;1;0;"medium";FALSE
"152";0.78;1;5;236;5;0;1;0;"medium";TRUE
"153";0.37;0.47;2;149;3;0;1;0;"low";FALSE
"154";0.37;0.5;2;141;3;0;1;0;"low";FALSE
"155";0.85;0.82;4;270;5;0;1;0;"low";TRUE
"156";0.41;0.47;2;138;3;0;1;0;"low";FALSE
"157";0.11;0.96;6;298;4;0;1;0;"low";FALSE
"158";0.75;0.99;5;254;5;0;1;0;"low";TRUE
"159";0.82;0.85;5;248;5;0;1;0;"low";TRUE
"160";0.79;1;5;257;6;0;1;0;"low";TRUE
"161";0.43;0.53;2;150;3;0;1;0;"low";FALSE
"162";0.1;0.9;7;281;4;0;1;0;"low";FALSE
"163";0.46;0.48;2;141;3;1;1;0;"low";FALSE
"164";0.43;0.57;2;157;3;0;1;0;"low";FALSE
"165";0.43;0.55;2;136;3;0;1;0;"low";FALSE
"166";0.11;0.8;7;296;4;0;1;0;"low";FALSE
"167";0.09;0.86;6;279;4;0;1;0;"low";FALSE
"168";0.37;0.53;2;131;3;0;1;0;"low";FALSE
"169";0.39;0.53;2;127;3;0;1;0;"medium";FALSE
"170";0.43;0.51;2;141;3;0;1;0;"low";FALSE
"171";0.8;0.75;3;268;2;0;1;0;"medium";TRUE
"172";0.1;0.86;6;247;4;0;1;0;"medium";FALSE
"173";0.1;0.55;2;247;4;0;1;0;"medium";FALSE
"174";0.36;0.52;2;146;3;0;1;0;"medium";FALSE
"175";0.38;0.5;2;140;3;0;1;0;"low";FALSE
"176";0.78;0.98;5;263;6;0;1;0;"low";TRUE
"177";0.44;0.49;2;145;3;0;1;0;"low";FALSE
"178";0.41;0.46;2;156;3;1;1;0;"low";FALSE
"179";0.72;0.85;5;244;6;0;1;0;"low";TRUE
"180";0.46;0.54;2;144;3;0;1;0;"low";FALSE
"181";0.1;0.9;7;286;4;0;1;0;"low";FALSE
"182";0.34;0.67;4;141;2;0;1;0;"low";FALSE
"183";0.11;0.89;6;260;5;0;1;0;"low";FALSE
"184";0.38;0.56;2;154;3;0;1;0;"low";FALSE
"185";0.82;0.92;5;225;5;0;1;0;"low";TRUE
"186";0.39;0.57;2;127;3;0;1;0;"low";FALSE
"187";0.44;0.53;2;140;3;0;1;0;"low";FALSE
"188";0.43;0.52;2;147;3;0;1;0;"low";FALSE
"189";0.4;0.49;2;128;3;0;1;0;"low";FALSE
"190";0.11;0.87;7;278;4;0;1;0;"low";FALSE
"191";0.86;0.98;3;158;5;0;1;0;"low";TRUE
"192";0.42;1;3;202;3;0;1;0;"medium";FALSE
"193";0.79;0.84;4;240;5;0;1;0;"medium";TRUE
"194";0.09;0.92;7;254;4;0;1;0;"medium";FALSE
"195";0.35;0.99;3;236;4;0;1;0;"medium";FALSE
"196";0.1;0.81;7;291;4;0;1;0;"high";FALSE
"197";0.11;0.8;6;306;4;0;1;0;"low";FALSE
"198";0.43;0.48;2;135;3;0;1;0;"medium";FALSE
"199";0.38;0.45;2;156;3;0;1;0;"medium";FALSE
"200";0.46;0.54;2;143;3;0;1;0;"medium";FALSE
"201";0.89;0.82;4;243;5;0;1;0;"medium";TRUE
"202";0.45;0.5;2;147;3;0;1;0;"low";FALSE
"203";0.44;0.53;2;159;3;0;1;0;"low";FALSE
"204";0.74;0.54;5;216;3;0;1;0;"low";TRUE
"205";0.45;0.54;2;152;3;0;1;0;"low";FALSE
"206";0.79;0.93;4;226;5;0;1;0;"low";TRUE
"207";0.79;0.91;5;271;5;0;1;0;"low";TRUE
"208";0.11;0.87;6;255;4;0;1;0;"low";FALSE
"209";0.42;0.48;2;140;3;0;1;0;"low";FALSE
"210";0.64;0.9;6;252;2;0;1;0;"low";TRUE
"211";0.4;0.55;2;159;3;0;1;0;"low";FALSE
"212";0.84;0.98;5;270;5;0;1;0;"low";TRUE
"213";0.73;0.92;5;232;5;0;1;0;"low";TRUE
"214";0.38;0.55;2;151;3;0;1;0;"low";FALSE
"215";0.39;0.54;2;127;3;0;1;0;"low";FALSE
"216";0.41;0.55;2;151;3;0;1;0;"low";FALSE
"217";0.1;0.9;7;290;4;0;1;0;"low";FALSE
"218";0.09;0.93;6;249;4;0;1;0;"low";FALSE
"219";0.39;0.46;2;159;3;0;1;0;"medium";FALSE
"220";0.1;0.86;6;309;4;0;1;0;"medium";FALSE
"221";0.31;0.77;4;149;3;0;1;0;"medium";FALSE
"222";0.42;0.54;2;159;3;0;1;0;"medium";FALSE
"223";0.38;0.5;2;152;3;0;1;0;"high";FALSE
"224";0.39;0.57;2;158;3;0;1;0;"low";FALSE
"225";0.1;0.97;6;254;5;0;1;0;"medium";FALSE
"226";0.11;0.93;6;294;4;0;1;0;"medium";FALSE
"227";0.1;0.92;7;269;4;0;1;0;"medium";FALSE
"228";0.11;0.9;7;247;4;0;1;0;"medium";FALSE
"229";0.44;0.65;3;271;4;0;1;0;"low";FALSE
"230";0.91;0.96;4;232;5;0;1;0;"low";TRUE
"231";0.72;1;4;245;5;0;1;0;"low";TRUE
"232";0.36;0.46;2;132;3;0;1;0;"low";FALSE
"233";0.44;0.57;2;131;3;0;1;0;"low";FALSE
"234";0.85;0.99;5;248;5;0;1;0;"low";TRUE
"235";0.78;0.93;5;225;5;0;1;0;"low";TRUE
"236";0.39;0.46;2;156;3;0;1;0;"low";FALSE
"237";0.78;0.81;3;222;2;0;1;0;"low";TRUE
"238";0.1;0.92;6;243;4;1;1;0;"low";FALSE
"239";0.37;0.53;2;126;3;0;1;0;"low";FALSE
"240";0.79;0.94;5;227;6;0;1;0;"medium";TRUE
"241";0.1;0.81;6;301;4;1;1;0;"medium";FALSE
"242";0.54;0.94;6;294;3;0;1;0;"medium";FALSE
"243";0.37;0.47;2;151;3;0;1;0;"medium";FALSE
"244";0.37;0.57;2;128;3;0;1;0;"medium";FALSE
"245";0.82;0.89;5;217;5;0;1;0;"high";TRUE
"246";0.45;0.52;2;160;3;0;1;0;"low";FALSE
"247";0.79;0.9;5;263;5;0;1;0;"medium";TRUE
"248";0.42;0.56;2;156;3;0;1;0;"medium";FALSE
"249";0.1;0.85;6;273;4;0;1;0;"medium";FALSE
"250";0.11;0.78;6;303;4;0;1;0;"medium";FALSE
"251";0.74;1;4;253;5;0;1;0;"low";TRUE
"252";0.1;0.93;6;270;4;0;1;0;"low";FALSE
"253";0.79;1;4;218;5;0;1;0;"low";TRUE
"254";0.43;0.48;2;144;3;0;1;0;"low";FALSE
"255";0.41;0.47;2;154;3;0;1;0;"low";FALSE
"256";0.39;0.55;2;146;3;0;1;0;"low";FALSE
"257";0.1;0.94;6;260;4;0;1;0;"low";FALSE
"258";0.82;0.85;5;218;5;0;1;0;"low";TRUE
"259";0.92;0.9;5;248;5;0;1;0;"low";TRUE
"260";0.79;0.98;4;271;5;0;1;0;"low";TRUE
"261";0.43;0.51;2;140;3;0;1;0;"low";FALSE
"262";0.8;0.95;4;274;5;0;1;0;"low";TRUE
"263";0.44;0.49;2;127;3;1;1;0;"low";FALSE
"264";0.48;0.88;3;239;3;0;1;0;"low";FALSE
"265";0.44;0.5;2;156;3;0;1;0;"medium";FALSE
"266";0.42;0.56;2;147;3;0;1;0;"medium";FALSE
"267";0.11;0.8;7;243;4;0;1;0;"medium";FALSE
"268";0.78;0.87;4;236;5;0;1;0;"medium";TRUE
"269";0.46;0.86;2;212;4;0;1;0;"medium";FALSE
"270";0.77;0.91;5;261;6;0;1;0;"medium";TRUE
"271";0.83;0.82;4;243;5;0;1;0;"medium";TRUE
"272";0.32;0.58;5;271;5;0;1;0;"high";FALSE
"273";0.9;0.92;5;154;4;0;1;0;"low";TRUE
"274";0.42;0.52;2;151;3;0;1;0;"medium";FALSE
"275";0.1;0.96;6;254;4;1;1;0;"medium";FALSE
"276";0.1;0.91;6;285;4;0;1;0;"medium";FALSE
"277";0.44;0.49;2;130;3;0;1;0;"medium";FALSE
"278";0.1;0.95;7;301;4;0;1;0;"low";FALSE
"279";0.11;0.8;6;286;4;0;1;0;"low";FALSE
"280";0.1;0.89;6;246;4;0;1;0;"low";FALSE
"281";0.39;0.47;2;135;3;0;1;0;"low";FALSE
"282";0.92;0.92;4;245;5;0;1;0;"low";TRUE
"283";0.43;0.56;2;136;3;0;1;0;"low";FALSE
"284";0.76;0.91;4;219;5;0;1;0;"low";TRUE
"285";0.37;0.5;2;131;3;0;1;0;"medium";FALSE
"286";0.87;1;4;258;5;1;1;1;"medium";TRUE
"287";0.11;0.85;6;267;4;0;1;0;"medium";FALSE
"288";0.42;0.5;2;141;3;0;1;0;"medium";FALSE
"289";0.43;0.48;2;160;3;0;1;0;"medium";FALSE
"290";0.09;0.8;6;247;4;0;1;0;"medium";FALSE
"291";0.54;0.56;4;260;3;0;1;0;"medium";FALSE
"292";0.4;0.47;2;151;3;0;1;0;"medium";FALSE
"293";0.36;0.52;2;137;3;1;1;0;"medium";FALSE
"294";0.87;0.9;4;256;5;0;1;0;"high";TRUE
"295";0.75;0.88;4;239;5;0;1;0;"low";TRUE
"296";0.43;0.53;2;152;3;0;1;0;"medium";FALSE
"297";0.43;0.47;2;149;3;0;1;0;"medium";FALSE
"298";0.1;0.87;6;284;4;0;1;0;"medium";FALSE
"299";0.11;0.78;7;248;4;0;1;0;"medium";FALSE
"300";0.44;0.53;2;156;3;0;1;0;"low";FALSE
"301";0.39;0.48;2;138;3;0;1;0;"low";FALSE
"302";0.4;0.55;2;155;3;0;1;0;"low";FALSE
"303";0.92;0.87;4;229;6;0;1;0;"low";TRUE
"304";0.45;0.57;2;136;3;0;1;0;"low";FALSE
"305";0.74;0.89;4;267;5;0;1;0;"medium";TRUE
"306";0.09;0.79;6;276;4;0;1;0;"medium";FALSE
"307";0.8;0.95;5;244;5;0;1;0;"medium";TRUE
"308";0.46;0.53;2;128;3;0;1;0;"medium";FALSE
"309";0.86;0.95;5;269;6;0;1;0;"medium";TRUE
"310";0.86;0.95;4;238;5;0;1;0;"medium";TRUE
"311";0.9;0.91;4;269;5;0;1;0;"medium";TRUE
"312";0.87;0.88;5;231;6;0;1;0;"medium";TRUE
"313";0.83;0.94;4;267;5;0;1;0;"medium";TRUE
"314";0.77;0.83;4;245;5;0;1;0;"medium";TRUE
"315";0.77;1;4;272;5;0;1;0;"medium";TRUE
"316";0.9;0.86;5;254;5;0;1;0;"high";TRUE
"317";0.73;0.92;4;273;5;0;1;0;"low";TRUE
"318";0.91;0.9;4;250;5;0;1;0;"medium";TRUE
"319";0.36;0.53;2;133;3;0;1;0;"medium";FALSE
"320";0.38;0.54;2;150;3;0;1;0;"medium";FALSE
"321";0.44;0.46;2;157;3;0;1;0;"medium";FALSE
"322";0.73;1;5;230;5;0;1;0;"low";TRUE
"323";0.89;0.91;5;260;5;0;1;0;"low";TRUE
"324";0.87;0.88;5;262;6;0;1;0;"low";TRUE
"325";0.09;0.92;6;303;5;0;1;0;"low";FALSE
"326";0.42;0.46;2;132;3;0;1;0;"low";FALSE
"327";0.82;0.83;4;245;5;1;1;0;"low";TRUE
"328";0.46;0.48;2;129;3;0;1;0;"low";FALSE
"329";0.43;0.45;2;140;3;0;1;0;"low";FALSE
"330";0.39;0.55;2;152;3;1;1;0;"medium";FALSE
"331";0.1;0.88;7;300;4;0;1;0;"medium";FALSE
"332";0.39;0.53;2;131;3;0;1;0;"medium";FALSE
"333";0.11;0.89;6;301;4;0;1;0;"medium";FALSE
"334";0.4;0.51;2;156;3;0;1;0;"medium";FALSE
"335";0.42;0.52;2;141;3;1;1;0;"medium";FALSE
"336";0.57;0.85;4;219;2;1;1;0;"medium";FALSE
"337";0.11;0.95;7;269;5;0;1;0;"medium";FALSE
"338";0.36;0.73;4;276;2;0;1;0;"medium";FALSE
"339";0.11;0.94;7;302;4;0;1;0;"medium";FALSE
"340";0.35;0.8;6;281;2;0;1;0;"medium";FALSE
"341";0.78;0.99;5;241;5;0;1;0;"medium";TRUE
"342";0.11;0.93;7;288;4;0;1;0;"high";FALSE
"343";0.1;0.96;6;303;4;0;1;0;"low";FALSE
"344";0.42;0.54;2;135;3;0;1;0;"medium";FALSE
"345";0.43;0.5;2;127;3;1;1;0;"medium";FALSE
"346";0.79;0.84;5;245;5;0;1;0;"medium";TRUE
"347";0.45;0.45;2;145;3;0;1;0;"medium";FALSE
"348";0.09;0.91;6;248;4;0;1;0;"low";FALSE
"349";0.75;0.93;5;229;5;0;1;0;"low";TRUE
"350";0.42;0.55;2;148;3;0;1;0;"low";FALSE
"351";0.37;0.52;2;143;3;0;1;0;"medium";FALSE
"352";0.11;0.98;6;250;4;0;1;0;"medium";FALSE
"353";0.09;0.88;7;265;4;0;1;0;"medium";FALSE
"354";0.41;0.54;2;152;3;0;1;0;"medium";FALSE
"355";0.42;0.49;2;145;3;0;1;0;"medium";FALSE
"356";0.4;0.49;2;140;3;0;1;0;"medium";FALSE
"357";0.36;0.47;2;129;3;0;1;0;"medium";FALSE
"358";0.74;0.9;4;226;5;0;1;0;"medium";TRUE
"359";0.66;1;5;269;5;0;1;0;"medium";TRUE
"360";0.38;0.47;2;152;3;0;1;0;"medium";FALSE
"361";0.43;0.51;2;132;3;0;1;0;"medium";FALSE
"362";0.43;0.53;2;148;3;0;1;0;"medium";FALSE
"363";0.1;0.85;6;297;5;0;1;0;"high";FALSE
"364";0.82;0.85;4;274;5;0;1;0;"low";TRUE
"365";0.1;0.77;6;280;4;0;1;0;"medium";FALSE
"366";0.1;0.93;6;288;4;0;1;0;"medium";FALSE
"367";0.43;0.49;2;155;3;0;1;0;"medium";FALSE
"368";0.09;0.94;7;247;4;0;1;0;"medium";FALSE
"369";0.45;0.45;2;131;3;0;1;0;"low";FALSE
"370";0.11;0.93;6;276;4;0;1;0;"low";FALSE
"371";0.44;0.5;2;135;3;0;1;0;"low";FALSE
"372";0.09;0.94;6;266;4;0;1;0;"medium";FALSE
"373";0.56;0.75;5;236;2;0;1;0;"medium";FALSE
"374";0.77;0.89;4;270;5;0;1;0;"medium";TRUE
"375";0.39;0.49;2;146;3;0;1;0;"medium";FALSE
"376";0.1;0.92;5;272;4;0;1;0;"medium";FALSE
"377";0.72;0.85;5;246;5;0;1;0;"medium";TRUE
"378";0.4;0.52;2;136;3;0;1;0;"medium";FALSE
"379";0.11;0.81;6;260;4;0;1;0;"medium";FALSE
"380";0.88;1;5;247;5;0;1;0;"medium";TRUE
"381";0.37;0.51;2;127;3;0;1;0;"medium";FALSE
"382";0.11;0.96;6;267;4;0;1;0;"medium";FALSE
"383";0.4;0.52;2;143;3;0;1;0;"medium";FALSE
"384";0.1;0.86;6;306;4;0;1;0;"high";FALSE
"385";0.62;0.89;3;131;4;0;1;0;"low";TRUE
"386";0.78;0.86;4;249;5;0;1;0;"medium";TRUE
"387";0.37;0.52;2;144;3;0;1;0;"medium";FALSE
"388";0.76;0.82;4;254;5;1;1;0;"medium";TRUE
"389";0.46;0.5;2;141;3;0;1;0;"low";FALSE
"390";0.43;0.46;2;145;3;0;1;0;"low";FALSE
"391";0.11;0.91;6;279;4;0;1;0;"low";FALSE
"392";0.4;0.46;2;146;3;0;1;0;"low";FALSE
"393";0.09;0.93;7;270;4;0;1;0;"medium";FALSE
"394";0.4;0.5;2;135;3;0;1;0;"medium";FALSE
"395";0.14;0.7;5;236;3;0;1;0;"medium";FALSE
"396";0.4;0.49;2;151;3;0;1;0;"medium";FALSE
"397";0.11;0.79;6;244;4;1;1;0;"medium";FALSE
"398";0.72;1;4;169;3;0;1;0;"medium";TRUE
"399";0.39;0.57;2;157;3;0;1;0;"medium";FALSE
"400";0.82;0.93;4;246;5;0;1;0;"medium";TRUE
"401";0.41;0.52;2;142;3;0;1;0;"medium";FALSE
"402";0.45;0.51;2;156;3;0;1;0;"medium";FALSE
"403";0.2;0.7;6;281;5;0;1;0;"medium";FALSE
"404";0.43;0.53;2;146;3;0;1;0;"medium";FALSE
"405";0.39;0.55;2;156;3;0;1;0;"high";FALSE
"406";0.11;0.86;6;299;4;1;1;0;"low";FALSE
"407";0.45;0.47;2;136;3;0;1;0;"medium";FALSE
"408";0.11;0.87;6;272;4;0;1;0;"medium";FALSE
"409";0.72;0.86;5;251;5;0;1;0;"low";TRUE
"410";0.78;0.45;4;128;2;0;1;0;"low";TRUE
"411";0.42;0.53;2;142;3;0;1;0;"low";FALSE
"412";0.39;0.54;2;149;3;0;1;0;"low";FALSE
"413";0.46;0.57;2;145;3;0;1;0;"low";FALSE
"414";0.1;0.92;6;279;4;0;1;0;"medium";FALSE
"415";0.45;0.47;2;146;3;0;1;0;"medium";FALSE
"416";0.1;0.83;6;264;4;1;1;0;"medium";FALSE
"417";0.1;0.89;7;272;4;0;1;0;"medium";FALSE
"418";0.78;0.86;5;256;5;0;1;0;"medium";TRUE
"419";0.4;0.65;2;296;5;0;1;0;"medium";FALSE
"420";0.45;0.51;2;155;3;1;1;0;"medium";FALSE
"421";0.39;0.56;2;130;3;0;1;0;"medium";FALSE
"422";0.43;0.48;2;157;3;0;1;0;"medium";FALSE
"423";0.09;0.96;6;245;4;0;1;0;"medium";FALSE
"424";0.79;0.86;5;226;5;0;1;0;"medium";TRUE
"425";0.44;0.47;2;156;3;1;1;0;"medium";FALSE
"426";0.79;0.95;5;228;5;0;1;0;"high";TRUE
"427";0.38;0.46;2;155;3;0;1;0;"low";FALSE
"428";0.36;0.56;2;159;3;0;1;0;"medium";FALSE
"429";0.41;0.56;2;160;3;0;1;0;"low";FALSE
"430";0.09;0.84;7;260;4;0;1;0;"low";FALSE
"431";0.4;0.57;2;152;3;0;1;0;"low";FALSE
"432";0.41;0.54;2;135;3;0;1;0;"low";FALSE
"433";0.83;0.92;4;235;5;0;1;0;"low";TRUE
"434";0.42;0.47;2;145;3;0;1;0;"low";FALSE
"435";0.61;0.46;5;220;4;0;1;0;"low";FALSE
"436";0.44;0.52;2;128;3;0;1;0;"medium";FALSE
"437";0.77;0.81;5;237;5;0;1;0;"medium";TRUE
"438";0.81;0.95;4;275;5;0;1;0;"medium";TRUE
"439";0.1;0.78;6;310;4;0;1;0;"medium";FALSE
"440";0.73;0.84;5;251;6;0;1;0;"medium";TRUE
"441";0.09;0.83;6;250;4;0;1;0;"medium";FALSE
"442";0.9;0.99;4;259;6;0;1;0;"medium";TRUE
